[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- detail.html
	- index.html
	- my.bak
	- register.html

[GIN-debug] GET    /                         --> _/home/ubuntu/go_demo/myproject/controllers.IndexGet (3 handlers)
[GIN-debug] GET    /detail                   --> _/home/ubuntu/go_demo/myproject/controllers.DetailGet (3 handlers)
[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :80
signal: interrupt
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- detail.html
	- index.html
	- my.bak
	- register.html

[GIN-debug] GET    /                         --> _/home/ubuntu/go_demo/myproject/controllers.IndexGet (3 handlers)
[GIN-debug] GET    /detail                   --> _/home/ubuntu/go_demo/myproject/controllers.DetailGet (3 handlers)
[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :80
[GIN] 2019/05/10 - 20:35:31 | 404 |       1.962µs |    202.29.52.15 | GET      /payload.php
[GIN] 2019/05/10 - 20:35:32 | 404 |       2.133µs |    202.29.52.15 | GET      /composers.php
[GIN] 2019/05/10 - 20:35:32 | 404 |       1.537µs |    202.29.52.15 | GET      /izom.php
[GIN] 2019/05/10 - 20:35:33 | 404 |       1.984µs |    202.29.52.15 | GET      /composer.php
[GIN] 2019/05/10 - 20:35:33 | 404 |       1.778µs |    202.29.52.15 | GET      /hue2.php
[GIN] 2019/05/10 - 20:35:33 | 404 |        2.15µs |    202.29.52.15 | GET      /Drupal.php
[GIN] 2019/05/10 - 20:35:33 | 404 |       2.156µs |    202.29.52.15 | GET      /lang.php?f=1
[GIN] 2019/05/10 - 20:35:34 | 404 |        1.92µs |    202.29.52.15 | GET      /izom.php
[GIN] 2019/05/10 - 20:35:34 | 404 |        1.92µs |    202.29.52.15 | GET      /payload.php
[GIN] 2019/05/10 - 20:35:35 | 404 |       1.639µs |    202.29.52.15 | GET      /new_license.php
[GIN] 2019/05/10 - 20:35:35 | 404 |       1.821µs |    202.29.52.15 | GET      /images/!.php
[GIN] 2019/05/10 - 20:35:36 | 404 |        2.01µs |    202.29.52.15 | GET      /images/vuln.php
[GIN] 2019/05/10 - 20:35:36 | 404 |       1.837µs |    202.29.52.15 | GET      /up.php
[GIN] 2019/05/10 - 20:35:38 | 404 |       2.226µs |    202.29.52.15 | GET      /huoshan.php
[GIN] 2019/05/10 - 20:35:39 | 404 |       1.932µs |    202.29.52.15 | GET      /laravel.php
[GIN] 2019/05/10 - 20:35:39 | 404 |       1.664µs |    202.29.52.15 | GET      /yu.php
